iter	Logloss
0	0.6884083549
1	0.6816655956
2	0.6727919625
3	0.6693224801
4	0.6627800047
5	0.6562501944
6	0.6502513121
7	0.6469690005
8	0.6434442939
9	0.6385181225
10	0.6351936603
11	0.632755456
12	0.6311324963
13	0.6269420056
14	0.6203149628
15	0.6125316803
16	0.6063896051
17	0.6036563279
18	0.6028042599
19	0.5988340393
20	0.5971534318
21	0.5956624941
22	0.591085035
23	0.5901759678
24	0.5879351276
25	0.5782713023
26	0.5735236084
27	0.5717755303
28	0.5709761191
29	0.5681660171
30	0.5678598867
31	0.5667441459
32	0.5655631336
33	0.5643640462
34	0.5630478918
35	0.5605885828
36	0.5585679283
37	0.5575448235
38	0.5546055536
39	0.5540919958
40	0.5534503927
41	0.5505539768
42	0.5479847175
43	0.545055335
44	0.5450537858
45	0.5416656047
46	0.5363242386
47	0.5339762977
48	0.5336931185
49	0.5329096365
50	0.5307949255
51	0.5306047423
52	0.5282904873
53	0.526198777
54	0.5225735072
55	0.5224334932
56	0.5221850882
57	0.5194391813
58	0.5191639786
59	0.5188199426
60	0.5185642832
61	0.5168498102
62	0.5153024126
63	0.5144161281
64	0.5128079618
65	0.5125101678
66	0.5119852493
67	0.5119379515
68	0.5115383464
69	0.5109087828
70	0.5098287742
71	0.5092631376
72	0.5056251476
73	0.5055232644
74	0.5036990528
75	0.5033932663
76	0.5031272768
77	0.5016697482
78	0.4990661167
79	0.4970128151
80	0.4960293697
81	0.495299913
82	0.4952423469
83	0.4944253309
84	0.4934704531
85	0.4927286607
86	0.4916664235
87	0.4914442831
88	0.4904608594
89	0.4902210283
90	0.4898702119
91	0.4898529817
92	0.4897246257
93	0.4888208281
94	0.4887114626
95	0.488488883
96	0.4883179825
97	0.4877439091
98	0.4866756292
99	0.486646751
100	0.4865829012
101	0.4864527856
102	0.4860950071
103	0.4858864885
104	0.4856946662
105	0.4851981321
106	0.4841878277
107	0.4841302483
108	0.4827323292
109	0.4824833432
110	0.4823201782
111	0.4811317115
112	0.4794641615
113	0.4794163993
114	0.4775082343
115	0.4775072022
116	0.4770812482
117	0.4770209274
118	0.4769536862
119	0.4769359281
120	0.4730288893
121	0.4729667256
122	0.4726216529
123	0.4722798482
124	0.4714119972
125	0.4694342392
126	0.4694147082
127	0.4690202615
128	0.4688955319
129	0.4684042933
130	0.4648629956
131	0.4644880329
132	0.4644820413
133	0.4642276581
134	0.4616430238
135	0.4598145439
136	0.4588295638
137	0.4587863838
138	0.4582245982
139	0.4581769512
140	0.4571028435
141	0.4567402682
142	0.4567093788
143	0.4566668232
144	0.4566413903
145	0.4546588851
146	0.4546209031
147	0.4538274211
148	0.4522888092
149	0.450392854
150	0.4485385505
151	0.4478890442
152	0.4477699617
153	0.4469430037
154	0.4451497276
155	0.4445599629
156	0.4439651133
157	0.4438821457
158	0.4437307292
159	0.4434896593
160	0.4434671894
161	0.4417542201
162	0.440772576
163	0.4407256849
164	0.4399842484
165	0.4399679305
166	0.4393373661
167	0.4391457823
168	0.4391316396
169	0.4389277885
